label,output
6.636000156402588,7.281008720397949
5.861000061035156,5.7092671394348145
7.015999794006348,7.630895614624023
6.298999786376953,5.9024577140808105
6.6620001792907715,6.3988261222839355
3.572000026702881,4.331997871398926
4.49399995803833,4.011967658996582
7.698999881744385,7.492416858673096
5.864999771118164,5.648552894592285
7.504000186920166,7.502355098724365
6.421000003814697,5.844934940338135
6.296000003814697,6.31227970123291
3.686000108718872,4.357335567474365
3.6019999980926514,5.003288745880127
5.35099983215332,5.277053356170654
6.791999816894531,7.221715927124023
5.379000186920166,5.141931056976318
6.97599983215332,7.1870903968811035
6.6579999923706055,7.174530506134033
5.935999870300293,5.836642265319824
5.965000152587891,6.420383930206299
5.8520002365112305,5.753600597381592
4.433000087738037,4.080028533935547
3.382999897003174,3.850203037261963
3.5880000591278076,3.8673853874206543
4.364999771118164,3.991502523422241
5.486000061035156,5.129047393798828
5.921000003814697,6.112560272216797
6.184000015258789,5.415156364440918
6.385000228881836,5.725351810455322
4.297999858856201,4.493961334228516
4.4670000076293945,4.4226579666137695
6.968999862670898,7.6696085929870605
7.255000114440918,7.402043342590332
4.85099983215332,5.450327396392822
6.552999973297119,6.046996593475342
5.4029998779296875,5.807508945465088
6.361999988555908,5.798356533050537
6.557000160217285,6.919953346252441
5.909999847412109,6.1805243492126465
4.671999931335449,5.061272144317627
7.561999797821045,7.622390270233154
5.813000202178955,5.791097164154053
6.008999824523926,6.073334217071533
5.104000091552734,4.491273880004883
5.9039998054504395,6.0813775062561035
7.249000072479248,7.622936248779297
6.440999984741211,6.088819980621338
3.2720000743865967,3.8980720043182373
6.295000076293945,6.74359130859375
5.703999996185303,4.247255325317383
5.801000118255615,5.265704154968262
5.796000003814697,5.98838472366333
6.728000164031982,6.446081638336182
6.455999851226807,6.679616451263428
4.113999843597412,4.093488693237305
6.552999973297119,5.987820148468018
5.958000183105469,5.994810104370117
4.86899995803833,4.503472328186035
5.860000133514404,5.5660200119018555
6.071000099182129,6.7614665031433105
7.130000114440918,7.032989501953125
6.111999988555908,6.065451622009277
3.5320000648498535,4.9894890785217285
6.943999767303467,7.171331882476807
4.609000205993652,4.138199329376221
5.076000213623047,4.792333126068115
6.684999942779541,6.274874210357666
4.2210001945495605,5.0392303466796875
4.390999794006348,4.808845043182373
7.00600004196167,6.264487266540527
5.868000030517578,6.090532302856445
5.004000186920166,5.217557430267334
4.548999786376953,3.882716417312622
4.505000114440918,4.614055156707764
6.144999980926514,5.698840141296387
1.4459999799728394,2.526479959487915
5.579999923706055,5.3135085105896
5.590000152587891,6.080691337585449
4.953999996185303,4.086218357086182
3.88100004196167,4.626495838165283
4.946000099182129,4.299457550048828
6.261000156402588,6.2617878913879395
5.054999828338623,4.619786262512207
5.0929999351501465,4.602395534515381
6.429999828338623,6.891000747680664
5.695000171661377,5.664880752563477
6.827000141143799,6.6095404624938965
5.758999824523926,5.463298797607422
5.678999900817871,5.073019027709961
4.544000148773193,3.9234535694122314
6.488999843597412,6.059804439544678
4.690999984741211,4.335082054138184
6.65500020980835,6.209089279174805
5.388999938964844,4.36318302154541
4.420000076293945,4.01487398147583
6.7829999923706055,6.2057881355285645
7.383999824523926,6.495532512664795
6.543000221252441,6.542818069458008
6.244999885559082,6.478369235992432
4.486999988555908,4.458639144897461
5.214000225067139,5.153639793395996
4.041999816894531,4.524464130401611
6.39300012588501,6.1478352546691895
5.96999979019165,5.4424824714660645
4.495999813079834,4.552487373352051
5.953999996185303,6.417465686798096
6.324999809265137,5.913574695587158
5.959000110626221,6.206386089324951
6.520999908447266,6.568253040313721
6.745999813079834,6.52458381652832
6.230000019073486,6.474700927734375
4.369999885559082,4.250870704650879
3.4670000076293945,3.949671983718872
4.827000141143799,4.130876064300537
4.676000118255615,4.690839767456055
5.909999847412109,5.5712809562683105
5.445000171661377,5.792191505432129
6.816999912261963,7.616101264953613
6.841000080108643,7.057470798492432
6.48199987411499,5.939581871032715
7.160999774932861,7.58259916305542
4.291999816894531,4.904906272888184
4.0929999351501465,4.17086935043335
4.461999893188477,4.186456203460693
6.214000225067139,6.259983062744141
6.953000068664551,6.296576976776123
6.6539998054504395,6.187981605529785
4.291999816894531,4.304388523101807
5.336999893188477,4.421370506286621
5.474999904632568,4.603052139282227
5.4629998207092285,5.398618698120117
6.2820000648498535,6.184741497039795
3.5880000591278076,4.481253623962402
7.025000095367432,7.147536754608154
5.764999866485596,5.891181468963623
6.877999782562256,6.319589614868164
3.3320000171661377,4.6032280921936035
